P1,P2,P3,P4,Y1,Y2,Y3,Y4,M1,M2,M3,M4,M5 ,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26
0.325848194,-0.415649329,0.093927227,0.081428273,0.290271354,-0.724497834,-0.515196293,-0.007579815,-1.018818113,0.06784524,-0.495701407,-0.297360315,-0.349513624,-0.480095579,-0.420243108,1.644501027,-0.359494166,-0.230398361,-0.204896386,2.393636907,2.174573196,-0.19765661,-0.23511864,-0.456770565,-0.301079295,-0.459662044,0,-0.32098555,-0.565885948,-0.543328009,-0.601862862,-0.622791186,1.744500569,-0.477760558
1.418357715,-0.709651537,-0.662977922,-0.209575211,-1.483125366,-0.54068009,-0.213840308,0.391042905,-0.708858853,0.495611934,-0.914003044,5.057573608,-0.385657477,-0.480095579,-0.425589598,2.952613413,-1.144158177,2.935604026,1.847348643,2.001197004,1.947846425,-0.19765661,-0.23511864,-0.036050783,-0.293230598,-0.459662044,0,-0.32098555,1.629208173,1.87780577,3.905908742,3.820997261,2.589430836,-1.14709857
1.214285182,-0.574229287,-0.60039527,-0.247667942,0.312856259,-0.268958411,-0.678246056,1.605454569,-1.018818113,-0.399729597,-0.959134682,-0.481783283,-0.385657477,-0.480095579,-0.225790613,0.184845097,-0.712030806,-0.230398361,-0.204896386,1.159779725,1.234844213,-0.19765661,0.933108596,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.566424638,-0.544553868,-0.641432996,-0.652299563,0.194082426,-0.696916208
2.627332874,-1.721039271,-0.829043701,0.056449433,-0.133483313,-0.231852409,-0.152699802,0.018379128,-1.01821102,-0.876965731,-0.429545817,0.787669058,-0.383736817,-0.480095579,-0.425589598,-1.071878661,0.659967534,-0.230398361,-0.204896386,2.1420317,2.083097006,-0.19765661,-0.23511864,-0.395394266,0.884356712,-0.428329441,0,-0.32098555,0.233419631,0.203465728,-0.255003587,-0.280815592,-1.117776475,1.082358707
2.083139452,-0.938711477,-1.074446542,0.010238579,0.302693668,-0.374336125,-0.279502145,0.539994585,-1.018818113,-1.142525183,2.725605967,1.857762628,-0.385657477,-0.480095579,-0.425589598,-1.090614511,-0.236826159,-0.230398361,-0.204896386,1.600473165,1.418697017,-0.19765661,-0.23511864,-0.470088307,0.000749057,-0.392574529,0,-0.32098555,-0.090462743,-0.104834174,-0.259743379,-0.301753482,-0.854007701,-0.914804419
0.820054152,0.306770481,-1.085780408,0.133259365,0.247571116,-0.519848105,-0.369619825,0.732147586,-1.018818113,-1.125004294,0.672414928,0.649495584,-0.385657477,-0.480095579,-0.424471279,-1.138009898,2.819947424,-0.230398361,-0.204896386,1.314486524,1.821667393,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.45961889,0,-0.32098555,-0.566424638,-0.544553868,-0.603436431,-0.619508953,-1.138160306,2.662367966
1.859999536,-0.974454896,-0.826579817,-0.358823779,0.631928557,0.451902464,1.209827765,-0.097924797,-0.960466346,-0.923642365,1.75288792,1.002767468,-0.385657477,-0.480095579,-0.425589598,-0.432283874,2.853365916,-0.230398361,-0.204896386,-0.17427107,0.115105891,-0.19765661,-0.23511864,0.256399494,2.213272138,1.74132442,0,-0.32098555,-0.393535902,-0.399579331,-0.569713784,-0.58937886,-0.398779514,2.136317546
-1.090291505,1.278890797,-0.210608829,-0.002250841,0.2272684,0.239059118,1.887528106,0.151163719,-0.967764025,0.444291182,1.162981266,2.15127649,-0.385657477,-0.480095579,-0.422076052,0.446160775,0.121620557,-0.230398361,-0.204896386,-0.437541354,-0.292165806,-0.19765661,-0.23511864,-0.468394751,-0.260607405,-0.224822801,0,-0.206835197,-0.558667831,-0.544553868,-0.556579105,-0.574030123,-0.026459742,-0.203615366
-0.80891877,0.640040108,0.14566879,-0.940206275,0.650348754,0.625651574,1.583645853,0.0012258,-0.935637499,-1.081111638,6.104070995,0.131016676,-0.385657477,-0.480095579,-0.425589598,-0.774291506,4.673731758,-0.230398361,-0.204896386,0.860052003,1.083704048,-0.19765661,-0.23511864,-0.454798899,0.004955815,3.51261563,0,-0.32098555,-0.478312973,-0.496325685,-0.564508487,-0.581551183,-0.676397041,2.832158325
-0.987224569,1.470193604,-0.496419367,-0.506823405,0.718226298,0.394519873,0.950895347,1.117854057,-0.919770232,-0.239948702,1.193205633,0.676449812,-0.385657477,-0.480095579,-0.413297154,0.870658504,1.703918184,-0.230398361,-0.204896386,-0.644805313,-0.699924885,-0.19765661,-0.23511864,-0.271360531,-0.215746667,3.474146641,0,-0.179137549,0.070030707,-0.059140312,-0.257654742,-0.276872469,0.843457468,1.350393095
-0.298737437,-0.349196775,0.626126161,-0.387549444,0.638996911,0.187650237,0.89721563,0.530945905,-0.952609307,3.943188833,-1.09663599,-0.118048373,-0.385657477,-0.480095579,-0.425589598,1.969863072,-1.126233476,-0.230398361,-0.204896386,-0.759836684,-0.737789405,-0.19765661,-0.23511864,4.2047035,1.415656408,-0.443253745,0,-0.320794194,-0.566424638,-0.544553868,-0.483730668,-0.497192482,0.588847497,-1.073743425
-0.826440149,1.224017097,-0.409197875,-0.872763408,0.694750207,0.496220421,1.19094552,1.349813503,-1.018818113,0.671929954,-0.260561493,0.128736279,-0.234009153,-0.480095579,-0.424141912,-0.388798829,1.044255488,-0.230398361,-0.204896386,0.377411768,1.133122886,-0.19765661,-0.23511864,-0.244472865,-0.200978107,5.851475387,0,-0.179802142,-0.566424638,-0.544553868,-0.531664885,-0.552206553,-0.639093726,0.646744832
-0.243081292,-1.277015388,1.481093892,-0.351330127,0.729974216,-1.26096622,0.974090658,-0.952316788,-0.902047818,-0.092386981,-0.820257527,2.787811982,-0.226732944,-0.480095579,-0.422183574,0.758406966,-0.343408293,-0.230398361,-0.204896386,-0.478115412,-0.485468736,-0.19765661,-0.23511864,2.95914691,5.312462212,-0.330492083,0,-0.298600919,-0.30292951,-0.326643511,-0.515545644,-0.535879193,0.751370174,-0.402984125
0.243394646,-0.885348062,0.632532259,1.575787364,0.265648747,0.410821724,0.781222768,-0.776349289,-0.48128807,-0.555264775,2.612414453,-0.168795052,-0.324010599,0.640591813,-0.193063484,-0.407496789,1.35749247,-0.227699583,-0.196299875,0.338193377,0.519922109,0.007180769,0.012737433,-0.371131427,-0.219247689,0.230362112,0,-0.32098555,1.648289769,1.754781704,1.452481523,1.448837151,-0.255584629,0.672439193
-0.965580513,-2.035682045,2.914088797,0.945071659,-0.503923026,0.357392192,0.738684975,0.767208196,-0.971223024,0.101008528,1.379021913,-0.440810743,-0.385657477,-0.460797254,-0.333780663,0.167497533,1.399204979,-0.230398361,-0.204896386,1.79942127,1.71959326,2.612662487,1.683737269,-0.469932711,-0.301079295,1.155424168,0,-0.32098555,-0.318586255,-0.326836799,0.231286698,0.254922539,0.097187869,1.069592838
-0.409019059,-1.012212029,1.380567426,1.685694259,-0.082731094,0.381326576,0.390764868,-0.577768658,-0.5026459,-1.017952689,2.531543644,0.168684448,-0.385657477,-0.069428716,1.188658951,-1.041237043,2.344046847,-0.230398361,-0.204896386,0.430887576,0.65690375,-0.19765661,-0.226701029,-0.470088307,-0.301079295,-0.457719158,0,-0.32098555,-0.362710034,-0.346281132,0.481173847,0.448221865,-0.959883501,1.413403639
-1.077923473,-0.567684717,1.585069794,1.118674596,0.312198759,0.529104119,0.255788985,1.387431648,-1.017699622,3.03342983,-1.006879409,-0.602525378,-0.385657477,-0.076377962,0.665363952,2.324445016,-0.918603159,-0.230398361,-0.204896386,1.54998261,1.499749481,0.307316931,0.603398318,0.314343577,-0.301079295,1.056628061,0,-0.32098555,-0.528712938,-0.50853047,-0.251925638,-0.235348578,1.897766512,-0.744962288
-1.05885609,-1.380218218,2.361686016,1.327247908,0.026812639,0.960940155,-0.812645394,1.235990721,-0.935736517,1.238218176,-0.223930202,-0.144636273,-0.385657477,2.533963652,-0.292824228,1.614495048,-0.607805651,-0.230398361,-0.204896386,-0.361945733,-0.563133066,0.110760431,2.753674962,-0.470088307,-0.301079295,-0.405587671,0,-0.32098555,-0.280111938,-0.323192115,3.582982475,3.615464762,1.366782223,-0.69398752
-0.907863029,-1.183881127,2.025119468,1.469002824,-0.145850356,0.751267684,-0.369526633,0.891762352,-0.918221517,-0.660651803,0.680737694,-0.468352704,-0.385657477,-0.083524422,-0.251284922,0.419912553,-0.629624307,-0.230398361,-0.204896386,-0.214433089,-0.24043977,6.709831093,7.1454206,-0.446641855,-0.301079295,-0.242148708,0,-0.32098555,-0.545060594,-0.540457513,0.309865788,0.308768535,0.960941491,-0.650818699
2.658252955,-2.113210025,-0.474737189,1.535196749,0.092948387,1.351603267,1.105231042,0.662643183,-0.416837457,0.853306649,-0.74216925,-0.35709616,-0.385657477,-0.375099692,0.073861193,0.523805755,-0.002053766,-0.230398361,-0.204896386,1.178987549,0.926288044,1.010543649,1.41263114,-0.446103056,-0.301079295,0.418777579,0,-0.32098555,-0.366919946,-0.410945063,-0.470473083,-0.483263821,0.069335184,0.418633667
-1.257775276,-0.483612168,1.67475517,1.630116341,0.664340897,1.759291867,-1.700202259,-1.322465608,-1.018609879,1.923429588,-1.010662351,-0.436323253,-0.109982039,1.036532748,-0.425589598,-0.337211614,3.553982945,0.293192191,1.938800348,-0.808385859,-0.703145487,-0.19765661,-0.23511864,-0.408952856,-0.301079295,-0.459662044,0,-0.32098555,-0.298298078,0.149625138,0.500640846,0.500329786,-0.603538531,4.769224435
0.118168318,0.384801889,-0.490998823,0.737122818,-5.554058981,-3.187111812,-1.136682801,-0.059471713,-0.9384401,0.310069972,-0.218571485,-0.602525378,-0.374742348,0.305446315,-0.425589598,0.179573292,-0.02200771,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.000421708,0.263175111,0.527240408,0.842949979,0.852581834,0.545408479,0.063155825
-0.180210461,0.753311507,-0.565900895,0.552279403,0.32273891,1.015917141,-1.306196036,1.831637446,0.825293835,0.36576386,0.866183163,-0.589675882,-0.320901072,-0.228272861,-0.287392893,-0.270183299,0.235789257,-0.22553774,-0.182685894,-0.765691252,-0.615453384,0.034797525,-0.096668392,-0.409317184,-0.301079295,-0.459662044,0,0.247023049,-0.566218211,-0.538958919,-0.592572955,-0.60188098,-0.478476068,0.139489827
-0.627520963,1.258753659,-0.633411315,2.45816488,0.669044266,2.771153715,-2.049103928,-1.18493041,-0.907885102,-0.264433191,0.674362898,-0.595486945,-0.332801955,-0.314203942,-0.425589598,0.87143959,0.451848091,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.288343533,-0.566424638,-0.544553868,-0.630891055,-0.641063146,0.969687647,0.204125815
-0.003450666,0.489515005,-0.477201073,0.684667254,0.729974216,1.783954314,-0.904870944,0.439780448,-0.251235957,1.132113712,1.11350468,-0.531000869,-0.381484055,0.077312706,-0.425589598,2.886677715,-0.757466976,-0.230398361,-0.204896386,-0.668043186,-0.67883115,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.320812336,0.331366985,0.355183247,0.182785978,0.160863977,3.250464376,-0.844937518
-1.027420674,0.950655455,0.05056287,1.377830059,-0.428497307,2.692126454,-1.016532963,0.856809762,-0.542931586,1.385204571,-0.598869149,-0.563326842,-0.385657477,1.642707735,-0.425589598,-0.726625106,1.571640934,-0.129080305,0.004814624,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,5.078580996,5.270848161,3.009981089,3.055401828,-1.033733394,2.118847087
-0.844476863,1.63582156,-0.795042102,-0.018487086,-0.449725695,1.329721976,-0.627667793,0.962347205,-0.505965162,-0.671373304,-0.10763276,-0.587112526,-0.383948784,-0.326002077,-0.425589598,0.254763155,-0.983167655,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,0.459854414,-0.394946875,-0.395156378,-0.368132102,-0.382748275,0.423481878,-1.004686457
-0.625974959,-1.103836005,1.677711831,-1.205606448,0.316772693,-0.222734393,-0.442000135,0.168176926,-0.779367602,-0.339322075,1.267095351,0.50860395,-0.385657477,2.427451513,3.017186592,-0.275872568,0.2516946,-0.021011996,-0.184354772,-0.82771777,-0.822181396,-0.19765661,-0.23511864,1.084852003,0.151104776,-0.455905131,0,0.207426762,1.894815904,1.772448362,0.936613803,1.014411254,-0.42497838,-0.01691274
-0.716158528,-0.823426364,1.489471097,-0.73600426,0.700396371,0.345884414,0.15880891,-0.697360191,-0.743463572,0.696025029,0.712697886,-0.54507668,-0.385657477,0.605098778,1.762974014,0.329018552,0.495326548,-0.02695787,-0.204896386,-0.825801045,-0.822181396,-0.19765661,-0.23511864,1.622761713,0.242257247,-0.440986922,0,-0.32098555,0.285850255,0.212948773,-0.274367345,-0.184211487,0.137109662,0.182490224
-0.680600435,-0.739353815,1.373668551,-0.637337842,0.460695515,-0.1227855,-0.244218946,-0.735225671,-0.586479379,-1.009034945,2.669989822,0.99832317,-0.385657477,1.06229248,2.534982914,-0.347956278,0.997065782,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.197075305,-0.23511864,1.751808349,-0.173813392,-0.459662044,0,-0.115534378,0.405162206,0.211464867,-0.217469842,-0.161986563,-0.328788085,0.50022802
-0.007058009,-0.352720774,0.350663935,-1.406061637,0.387143008,-0.265378531,-0.416195276,-0.070363658,-0.720836408,-0.385129849,1.092710532,2.031135309,-0.385657477,1.060437278,2.560548277,-0.800848574,1.965507044,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,2.921059243,0.913698124,-0.399357202,0,-0.32098555,0.172916485,-0.012694553,-0.499970297,-0.442045366,-0.894677579,2.02622563
-0.540429402,0.960724024,-0.424966733,-0.887750711,-1.581774596,0.482711603,1.49458366,-1.843383587,1.209769982,-0.757473819,-0.200928759,0.804799367,-0.367137634,-0.14272807,-0.425589598,-0.850284645,-0.60757135,-0.230398361,-0.204896386,-0.66452051,-0.670482225,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.536235554,-0.53855088,-0.054670461,-0.081596838,-0.653647948,-0.45617474
0.057874161,0.700954949,-0.743300539,-0.666063508,-0.988695884,1.958176154,2.967382419,-1.479813586,0.292576924,-0.757788316,0.088823531,2.396084387,0.116328155,-0.443366794,-0.380585122,-0.158536118,-0.599385629,-0.230398361,-0.204896386,-0.764642046,-0.791368595,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.15898097,-0.340086346,0.709106597,0.674205186,-0.176117365,-0.838238605
2.089323468,-1.361591366,-0.66642736,-1.133167813,-0.783175364,2.050715833,1.750071368,1.237396788,1.404367614,-0.384069161,0.285534533,1.556813212,-0.385657477,-0.480095579,-0.407204393,-0.420203284,-0.829687154,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.56642461,-0.544553856,0.666996503,0.671161446,0.228165183,-0.810410165
-0.78572871,1.020128579,-0.248552642,0.684667254,-0.091173367,1.321341776,0.281727096,0.7803191,1.462874862,-0.751688057,-0.348238363,-0.572580196,-0.385657477,-0.389429374,2.408966785,-0.603649743,-0.780582155,-0.230398361,-0.204896386,-0.82771777,-0.822181396,-0.19765661,-0.23511864,-0.470088307,-0.301079295,-0.459662044,0,-0.32098555,-0.566401898,-0.544553868,-0.438249448,-0.442774862,-0.322085028,-0.655303795
